Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
LXRP,LEXARIA BIOSCIENCES CORP,OTCQX U.S.,1.120000,83.039300,257684,Common Stock,Canada,British Columbia
IGXT,INTELGENX TECHS CORP,OTCQX U.S.,0.670000,65.617200,175511,Common Stock,Canada,Quebec
SIAF,SINO AGRO FOODS INC,OTCQX U.S.,0.172000,76.565000,210138,Common Stock,China,
JRSS,JRSIS HEALTH CARE CORP,OTCQX U.S.,4.500000,0.000000,0,Common Stock,China,
FRHC,FREEDOM HOLDING CORP,OTCQX U.S.,8.670000,73.956500,38920,Common Stock,Kazakhstan,
SOTK,SONO-TEK CORP,OTCQX U.S.,2.440000,46.470900,23200,Common Stock,USA,New York
SMDM,SINGING MACHINE CO INC,OTCQX U.S.,0.410000,20.069700,0,Common Stock,USA,Florida
REPR,REPRO MED SYSTEMS INC,OTCQX U.S.,1.600000,75.558300,39310,Common Stock,USA,New York
NOBH,NOBILITY HOMES INC,OTCQX U.S.,22.500000,22.172700,256,Common Stock,USA,Florida
CRMZ,CREDITRISKMONITOR.COM INC,OTCQX U.S.,1.750000,57.247300,5101,Common Stock,USA,New York
MACE,MACE SECURITY INTL INC,OTCQX U.S.,0.315000,149.484500,416127,Common Stock,USA,Ohio
LYBC,LYONS BANCORP INC,OTCQX U.S.,41.000000,87.683700,3,Common Stock,USA,New York
IEHC,IEH CORP,OTCQX U.S.,16.050000,26.781200,340,Common Stock,USA,New York
HLND,HIGHLANDS BNKSHS OF VA,OTCQX U.S.,6.600000,191.525300,0,Common Stock,USA,Virginia
ENZN,ENZON PHARMS INC,OTCQX U.S.,0.230000,88.178700,6776,Common Stock,USA,New Jersey
CNIGO,CORNING NAT 6% PFD SER A,OTCQX U.S.,26.800000,0.000000,0,Preferred Stock,USA,New York
CNIGP,CORNING NAT 4.8% PFD B,OTCQX U.S.,23.050000,315.024200,0,Preferred Stock,USA,New York
TIXC,TIX CORP,OTCQX U.S.,0.398300,104.033300,22500,Common Stock,USA,California
CTAM,CASTLE AM & CO,OTCQX U.S.,1.880000,3.068400,0,Common Stock,USA,Illinois
BDCO,BLUE DOLPHIN ENERGY CO,OTCQX U.S.,1.110000,147.026600,980,Common Stock,USA,Texas
BBXTB,BBX CAPITAL CORP CL B,OTCQX U.S.,5.975000,293.590700,0,Common Stock,USA,Florida
CCFH,CCF HOLDING CO,OTCQX U.S.,19.250000,100.452300,0,Common Stock,USA,Georgia
FACO,FIRST ACCEPTANCE CORP,OTCQX U.S.,1.250000,26.444800,200,Common Stock,USA,Tennessee
MNTR,MENTOR CAPITAL INC,OTCQX U.S.,0.430200,53.909400,49889,Common Stock,USA,California
HCBC,HIGH COUNTRY BANCORP INC,OTCQX U.S.,46.000000,49.163900,100,Common Stock,USA,Colorado
CXDO,CREXENDO INC,OTCQX U.S.,3.000000,63.295900,1301,Common Stock,USA,Arizona
ALBY,COMMUTY CAP BNCSHS INC,OTCQX U.S.,9.500000,83.759200,0,Common Stock,USA,Georgia
ONVC,ONLINE VACATION CTR HLDGS,OTCQX U.S.,1.650000,82.217400,500,Common Stock,USA,Florida
HGTXU,HUGOTON ROYALTY TR UBI,OTCQX U.S.,0.490000,51.485900,30453,Common Stock,USA,Texas
OMCM,OMNICOM SYS INC,OTCQX U.S.,0.315000,77.235100,25400,Common Stock,USA,Florida
DBCP,DELMAR BANCORP,OTCQX U.S.,7.100000,44.103500,0,Common Stock,USA,Maryland
PFBX,PEOPLES FINCL CORP MISS,OTCQX U.S.,11.550000,53.281500,0,Common Stock,USA,Mississippi
LBSI,LIBERTY BNCSHS INC (OH),OTCQX U.S.,52.000000,0.000000,0,Common Stock,USA,Ohio
TRCK,TRACK GROUP INC,OTCQX U.S.,0.550000,18.664800,0,Common Stock,USA,Illinois
ICTV,ICTV BRANDS INC,OTCQX U.S.,0.037430,143.681500,352800,Common Stock,USA,Pennsylvania
OSTBP,OVERSTOCK PFD VTG SER B,OTCQX U.S.,22.000000,144.698300,0,Preferred Stock,USA,Utah
GRRB,GRANDSOUTH BNCRPRTN NEW,OTCQX U.S.,16.250000,37.177200,3000,Common Stock,USA,South Carolina
DLMV,DELMARVA BANCSHARES INC,OTCQX U.S.,7.850000,52.342000,0,Common Stock,USA,Maryland
STXS,STEREOTAXIS INC,OTCQX U.S.,1.950000,123.218200,23650,Common Stock,USA,Missouri
AMAZ,AMAZING ENE OIL & GAS,OTCQX U.S.,0.259000,103.732900,18125,Common Stock,USA,Texas
ZDPY,ZONED PROPERTIES INC,OTCQX U.S.,0.390000,63.822500,8435,Common Stock,USA,Arizona
WEYL,WEYLAND TECH INC,OTCQX U.S.,0.592500,122.164600,214337,Common Stock,USA,New York
ISCO,INTL STEM CELL CORP,OTCQX U.S.,1.120000,207.866000,26477,Common Stock,USA,California
NLST,NETLIST INC,OTCQX U.S.,0.494880,52.124400,296097,Common Stock,USA,California
CZID,CITIZENS INDEPENDENT BNCP,OTCQX U.S.,45.000000,4.232600,0,Common Stock,USA,Ohio
WLMS,WILLIAMS INDSTRL SVCS GRP,OTCQX U.S.,2.380000,28.875300,1500,Common Stock,USA,Georgia
RGSE,REAL GOODS SOLAR A,OTCQX U.S.,0.309000,179.056700,2153464,Common Stock,USA,Colorado
FLSS,FORBES ENE SVCS LTD,OTCQX U.S.,3.250000,28.637700,0,Common Stock,USA,Texas
TOMZ,TOMI ENVIRONMENTAL SLTNS,OTCQX U.S.,0.120000,38.552400,8000,Common Stock,USA,California
ZEST,ECOARK HOLDINGS INC,OTCQX U.S.,0.730000,121.207000,13425,Common Stock,USA,Arkansas
MNMB,MERCHANTS & MARINE BNCORP,OTCQX U.S.,37.200000,121.687200,0,Common Stock,USA,Mississippi
EMGC,EMERGENT CAPITAL INC,OTCQX U.S.,0.097000,38.352800,544063,Common Stock,USA,Florida
TRTC,TERRA TECH CORP,OTCQX U.S.,0.922000,117.811500,1850005,Common Stock,USA,California
CANN,GENERAL CANNABIS CORP,OTCQX U.S.,1.800000,83.870400,126266,Common Stock,USA,Colorado
JONE,JONES ENERGY INC A,OTCQX U.S.,0.119000,216.569600,167343,Common Stock,USA,Texas
ZCOR,EGALET CORP,OTCQX U.S.,3.000000,900.000000,2346,Common Stock,USA,Pennsylvania
IDTY,IPSIDY INC,OTCQX U.S.,0.122500,95.931900,162000,Common Stock,USA,New York
GBTC,GRAYSCALE BITCOIN TRUST,OTCQX U.S.,4.780000,102.832500,2937412,Common Stock,USA,New York
AKOM,AERKOMM INC,OTCQX U.S.,9.950000,32.547500,20,Common Stock,USA,Nevada
IBTN,INSCORP INC,OTCQX U.S.,16.500000,101.577300,0,Common Stock,USA,Tennessee
EQFN,EQUITABLE FINCL CORP,OTCQX U.S.,11.700000,11.519900,950,Common Stock,USA,Nebraska
MDCL,MEDICINE MAN TECH INC,OTCQX U.S.,2.190000,132.787700,190748,Common Stock,USA,Colorado
SXEE,SOUTHCROSS ENERGY PTNRS,OTCQX U.S.,0.250000,227.274500,24871,Common Stock,USA,Texas
AFGR,AFFINION GROUP HLDGS INC,OTCQX U.S.,1.000000,62.069000,0,Common Stock,USA,Connecticut
TGRF,TGR FINL INC,OTCQX U.S.,11.770000,40.627100,0,Common Stock,USA,Florida
PKKW,PARKWAY ACQUISITION CORP,OTCQX U.S.,11.000000,23.309200,0,Common Stock,USA,Virginia
GRWG,GROWGENERATION CORP,OTCQX U.S.,3.015000,115.133100,96992,Common Stock,USA,Colorado
PTRS,VIRGINIA PART BK FRED VA,OTCQX U.S.,12.810000,0.849500,100,Common Stock,USA,Virginia
CCNB,COASTAL CAROLINA BANC,OTCQX U.S.,8.020000,10.277100,0,Common Stock,USA,South Carolina
